,,,,,,"<Results of SALOME, time limit of 20 sec.>",,,"<Results of 10,000 runs of random search (with maximum load rule)>",,,,,<Graph structure measures>,,,,,,,,,,,<Times structure measures>,,,,,,,,,,,,,
148,10,instance_n=50_148p10,BN,0.6,bimodal,less tricky,10,10,10,1,10,0.8571,0.8571,0.1429,0.597,1.66,12,0.588,0.556, 0.040 ,2,0.06,10.333,4.545,0.04,1000,9.309,0.021,0.529,0.143,,,,,,,,,
149,1,instance_n=50_149,BN,0.6,bimodal,tricky,12,12,12,1,12, 0.157 ,0.1573,0.8427,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
149,2,instance_n=50_149p2,BN,0.6,bimodal,tricky,12,12,12,1,12,0.4501,0.4501,0.5499,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
149,3,instance_n=50_149p3,BN,0.6,bimodal,tricky,12,12,12,1,12,0.3151,0.3151,0.6849,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
149,4,instance_n=50_149p4,BN,0.6,bimodal,tricky,12,12,12,1,12,0.4415,0.4415,0.5585,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
149,5,instance_n=50_149p5,BN,0.6,bimodal,tricky,12,12,12,1,12,0.3498,0.3498,0.6502,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
149,6,instance_n=50_149p6,BN,0.6,bimodal,tricky,12,12,12,1,12,0.1909,0.1909,0.8091,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
149,7,instance_n=50_149p7,BN,0.6,bimodal,tricky,12,12,12,1,12,0.2188,0.2188,0.7812,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
149,8,instance_n=50_149p8,BN,0.6,bimodal,tricky,12,12,12,1,12,0.2983,0.2983,0.7017,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
149,9,instance_n=50_149p9,BN,0.6,bimodal,tricky,12,12,12,1,12,0.2527,0.2527,0.7473,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
149,10,instance_n=50_149p10,BN,0.6,bimodal,tricky,12,12,12,1,12,0.4534,0.4534,0.5466,0.596,1.46,13,0.641,0.568, 0.040 ,2,0.06,11,4.545,0.1,1000,11.277,0.022,0.586,0.16,,,,,,,,,
150,1,instance_n=50_150,BN,0.6,bimodal,extremely tricky,11,11,11,1,11, 0.002 ,0.0022,0.9978,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
150,2,instance_n=50_150p2,BN,0.6,bimodal,very tricky,11,11,11,1,11,0.0145,0.0145,0.9855,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
150,3,instance_n=50_150p3,BN,0.6,bimodal,very tricky,11,11,11,1,11,0.0223,0.0223,0.9777,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
150,4,instance_n=50_150p4,BN,0.6,bimodal,very tricky,11,11,11,1,11,0.0168,0.0168,0.9832,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
150,5,instance_n=50_150p5,BN,0.6,bimodal,extremely tricky,11,11,11,1,11,0.0036,0.0036,0.9964,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
150,6,instance_n=50_150p6,BN,0.6,bimodal,very tricky,11,11,11,1,11,0.0292,0.0292,0.9708,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
150,7,instance_n=50_150p7,BN,0.6,bimodal,tricky,11,11,11,1,11,0.0567,0.0567,0.9433,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
150,8,instance_n=50_150p8,BN,0.6,bimodal,extremely tricky,11,11,11,1,11,0.0023,0.0023,0.9977,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
150,9,instance_n=50_150p9,BN,0.6,bimodal,very tricky,11,11,11,1,11,0.0124,0.0124,0.9876,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
150,10,instance_n=50_150p10,BN,0.6,bimodal,very tricky,11,11,11,1,11,0.0065,0.0065,0.9935,0.6,1.54,12,0.602,0.575, 0.040 ,2,0.06,10.333,4.545,0.12,1000,10.62,0.028,0.595,0.164,,,,,,,,,
151,1,instance_n=50_151,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7, 1.000 ,0.9998,0.0002,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
151,2,instance_n=50_151p2,CH,0.2,peak at the bottom,trivial,7,7,7,1,7,1,1,<0.0001,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
151,3,instance_n=50_151p3,CH,0.2,peak at the bottom,trivial,7,7,7,1,7,1,1,<0.0001,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
151,4,instance_n=50_151p4,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9998,0.9998,0.0002,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
151,5,instance_n=50_151p5,CH,0.2,peak at the bottom,trivial,7,7,7,1,7,1,1,<0.0001,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
151,6,instance_n=50_151p6,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9998,0.9998,0.0002,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
151,7,instance_n=50_151p7,CH,0.2,peak at the bottom,trivial,7,7,7,1,7,1,1,<0.0001,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
151,8,instance_n=50_151p8,CH,0.2,peak at the bottom,trivial,7,7,7,1,7,1,1,<0.0001,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
151,9,instance_n=50_151p9,CH,0.2,peak at the bottom,trivial,7,7,7,1,7,1,1,<0.0001,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
151,10,instance_n=50_151p10,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9996,0.9996,0.0004,0.199,1.22,9,0.725,0.714, 0.480 ,3.429,0,0,6.25,0.16,1000,6.483,0.022,0.26,0.062,,,,,,,,,
152,1,instance_n=50_152,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7, 0.997 ,0.997,0.003,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
152,2,instance_n=50_152p2,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9942,0.9942,0.0058,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
152,3,instance_n=50_152p3,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9974,0.9974,0.0026,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
152,4,instance_n=50_152p4,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9887,0.9887,0.0113,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
152,5,instance_n=50_152p5,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9982,0.9982,0.0018,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
152,6,instance_n=50_152p6,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9969,0.9969,0.0031,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
152,7,instance_n=50_152p7,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9983,0.9983,0.0017,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
152,8,instance_n=50_152p8,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9975,0.9975,0.0025,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
152,9,instance_n=50_152p9,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9967,0.9967,0.0033,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
152,10,instance_n=50_152p10,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9966,0.9966,0.0034,0.202,1.02,5,0.909,0.82, 0.660 ,3.667,0,0,6.25,0.08,1000,6.594,0.027,0.3,0.064,,,,,,,,,
153,1,instance_n=50_153,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8, 1.000 ,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
153,2,instance_n=50_153p2,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8,1,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
153,3,instance_n=50_153p3,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8,1,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
153,4,instance_n=50_153p4,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8,1,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
153,5,instance_n=50_153p5,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8,1,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
153,6,instance_n=50_153p6,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8,1,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
153,7,instance_n=50_153p7,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8,1,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
153,8,instance_n=50_153p8,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8,1,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
153,9,instance_n=50_153p9,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8,1,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
153,10,instance_n=50_153p10,CH,0.2,peak at the bottom,extremely tricky,7,7,7,0,8,1,<0.0001,>0.9999,0.195,1.18,5,0.806,0.704, 0.500 ,3.125,0,0,6.25,0.06,1000,6.99,0.023,0.318,0.072,,,,,,,,,
154,1,instance_n=50_154,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8, 1.000 ,0.9998,0.0002,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
154,2,instance_n=50_154p2,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9981,0.9981,0.0019,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
154,3,instance_n=50_154p3,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9987,0.9987,0.0013,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
154,4,instance_n=50_154p4,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9889,0.9889,0.0111,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
154,5,instance_n=50_154p5,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9773,0.9773,0.0227,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
154,6,instance_n=50_154p6,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9997,0.9997,0.0003,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
154,7,instance_n=50_154p7,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9998,0.9998,0.0002,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
154,8,instance_n=50_154p8,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9925,0.9925,0.0075,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
154,9,instance_n=50_154p9,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9976,0.9976,0.0024,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
154,10,instance_n=50_154p10,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9999,0.9999,1E-04,0.195,1.02,6,0.862,0.794, 0.600 ,3.75,0.02,6,6.25,0.14,1000,7.384,0.023,0.371,0.091,,,,,,,,,
155,1,instance_n=50_155,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7, 1.000 ,0.9999,1E-04,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
155,2,instance_n=50_155p2,CH,0.2,peak at the bottom,trivial,7,7,7,1,7,1,1,<0.0001,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
155,3,instance_n=50_155p3,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9999,0.9999,1E-04,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
155,4,instance_n=50_155p4,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9999,0.9999,1E-04,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
155,5,instance_n=50_155p5,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9999,0.9999,1E-04,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
155,6,instance_n=50_155p6,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9978,0.9978,0.0022,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
155,7,instance_n=50_155p7,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9995,0.9995,0.0005,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
155,8,instance_n=50_155p8,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9999,0.9999,1E-04,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
155,9,instance_n=50_155p9,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9963,0.9963,0.0037,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
155,10,instance_n=50_155p10,CH,0.2,peak at the bottom,trivial,7,7,7,1,7,1,1,<0.0001,0.198,1.14,6,0.82,0.694, 0.460 ,2.875,0.04,5.5,6.25,0.08,1000,6.471,0.026,0.288,0.072,,,,,,,,,
156,1,instance_n=50_156,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7, 0.776 ,0.7755,0.2245,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
156,2,instance_n=50_156p2,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.8546,0.8546,0.1454,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
156,3,instance_n=50_156p3,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.7403,0.7403,0.2597,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
156,4,instance_n=50_156p4,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9084,0.9084,0.0916,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
156,5,instance_n=50_156p5,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.8989,0.8989,0.1011,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
156,6,instance_n=50_156p6,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.7933,0.7933,0.2067,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
156,7,instance_n=50_156p7,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.8368,0.8368,0.1632,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
156,8,instance_n=50_156p8,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.7381,0.7381,0.2619,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
156,9,instance_n=50_156p9,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.8192,0.8192,0.1808,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
156,10,instance_n=50_156p10,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.8059,0.8059,0.1941,0.201,1.06,7,0.877,0.735, 0.500 ,3.571,0,0,6.25,0.08,1000,6.74,0.026,0.368,0.08,,,,,,,,,
157,1,instance_n=50_157,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8, 1.000 ,0.9999,1E-04,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
157,2,instance_n=50_157p2,CH,0.2,peak at the bottom,trivial,8,8,8,1,8,1,1,<0.0001,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
157,3,instance_n=50_157p3,CH,0.2,peak at the bottom,trivial,8,8,8,1,8,1,1,<0.0001,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
157,4,instance_n=50_157p4,CH,0.2,peak at the bottom,trivial,8,8,8,1,8,1,1,<0.0001,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
157,5,instance_n=50_157p5,CH,0.2,peak at the bottom,trivial,8,8,8,1,8,1,1,<0.0001,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
157,6,instance_n=50_157p6,CH,0.2,peak at the bottom,less tricky,8,8,8,1,8,0.9998,0.9998,0.0002,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
157,7,instance_n=50_157p7,CH,0.2,peak at the bottom,trivial,8,8,8,1,8,1,1,<0.0001,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
157,8,instance_n=50_157p8,CH,0.2,peak at the bottom,trivial,8,8,8,1,8,1,1,<0.0001,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
157,9,instance_n=50_157p9,CH,0.2,peak at the bottom,trivial,8,8,8,1,8,1,1,<0.0001,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
157,10,instance_n=50_157p10,CH,0.2,peak at the bottom,trivial,8,8,8,1,8,1,1,<0.0001,0.197,1.22,5,0.781,0.714, 0.520 ,4.333,0,0,6.25,0.06,1000,7.213,0.02,0.307,0.077,,,,,,,,,
158,1,instance_n=50_158,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7, 0.573 ,0.5729,0.4271,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
158,2,instance_n=50_158p2,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.6025,0.6025,0.3975,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
158,3,instance_n=50_158p3,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.6427,0.6427,0.3573,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
158,4,instance_n=50_158p4,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.6076,0.6076,0.3924,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
158,5,instance_n=50_158p5,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.6106,0.6106,0.3894,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
158,6,instance_n=50_158p6,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.5823,0.5823,0.4177,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
158,7,instance_n=50_158p7,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.6819,0.6819,0.3181,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
158,8,instance_n=50_158p8,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.6374,0.6374,0.3626,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
158,9,instance_n=50_158p9,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.723,0.723,0.277,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
158,10,instance_n=50_158p10,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.5873,0.5873,0.4127,0.203,1.14,8,0.82,0.704, 0.480 ,3,0,0,6.25,0.08,1000,6.787,0.022,0.31,0.069,,,,,,,,,
159,1,instance_n=50_159,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7, 1.000 ,0.9998,0.0002,0.198,1.08,6,0.877,0.746, 0.500 ,3.571,0,0,6.25,0.06,1000,6.528,0.028,0.306,0.071,,,,,,,,,
159,2,instance_n=50_159p2,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9983,0.9983,0.0017,0.198,1.08,6,0.877,0.746, 0.500 ,3.571,0,0,6.25,0.06,1000,6.528,0.028,0.306,0.071,,,,,,,,,
159,3,instance_n=50_159p3,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9999,0.9999,1E-04,0.198,1.08,6,0.877,0.746, 0.500 ,3.571,0,0,6.25,0.06,1000,6.528,0.028,0.306,0.071,,,,,,,,,
159,4,instance_n=50_159p4,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9984,0.9984,0.0016,0.198,1.08,6,0.877,0.746, 0.500 ,3.571,0,0,6.25,0.06,1000,6.528,0.028,0.306,0.071,,,,,,,,,
159,5,instance_n=50_159p5,CH,0.2,peak at the bottom,trivial,7,7,7,1,7,1,1,<0.0001,0.198,1.08,6,0.877,0.746, 0.500 ,3.571,0,0,6.25,0.06,1000,6.528,0.028,0.306,0.071,,,,,,,,,
159,6,instance_n=50_159p6,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9997,0.9997,0.0003,0.198,1.08,6,0.877,0.746, 0.500 ,3.571,0,0,6.25,0.06,1000,6.528,0.028,0.306,0.071,,,,,,,,,
159,7,instance_n=50_159p7,CH,0.2,peak at the bottom,less tricky,7,7,7,1,7,0.9997,0.9997,0.0003,0.198,1.08,6,0.877,0.746, 0.500 ,3.571,0,0,6.25,0.06,1000,6.528,0.028,0.306,0.071,,,,,,,,,
